구,강도,살인,성범죄,절도,폭력,강도검거율,살인검거율,성범죄검거율,절도검거율,폭력검거율,범죄평균,검거율평균
강남구,1.0,1.0,1.0,1.0,1.0,92.0,91.67,78.55,48.9,87.02,1.0,79.628
강동구,0.24,0.25,0.21453287197231835,0.6795952782462057,0.5422602089268755,100.0,100.0,83.06,55.15,85.29,0.3852776718290799,84.7
강북구,0.04,0.3333333333333333,0.23529411764705882,0.32757166947723443,0.43779677113010446,100.0,100.0,84.56,69.11,90.74,0.2747991783175462,88.882
강서구,0.12,0.75,0.42560553633217996,0.6492411467116358,0.6641342196897753,100.0,77.78,76.42,59.81,91.75,0.5217961805467182,81.152
관악구,0.28,0.6666666666666666,0.5553633217993079,0.7841483979763912,0.7116176005064894,85.71,50.0,83.8,49.95,85.68,0.599559197389771,71.02799999999999
광진구,0.16,0.4166666666666667,0.35986159169550175,0.5961214165261383,0.4609053497942387,100.0,60.0,77.4,53.32,87.91,0.39871100493650913,75.726
구로구,0.08,0.4166666666666667,0.314878892733564,0.5860033726812817,0.6036720481164926,50.0,100.0,64.84,55.4,80.6,0.400244196039601,70.168
금천구,0.12,0.5833333333333334,0.23183391003460208,0.42706576728499157,0.40582462804685027,100.0,85.71,76.87,51.33,86.43,0.35361152773995547,80.068
노원구,0.12,0.5,0.2698961937716263,0.5737774030354131,0.6011396011396012,100.0,100.0,80.77,48.05,79.67,0.4129626395893281,81.69800000000001
도봉구,0.08,0.16666666666666666,0.1245674740484429,0.3254637436762226,0.3203545425767648,50.0,100.0,88.89,48.7,84.09,0.2034104853936194,74.33599999999998
동대문구,0.28,0.25,0.29238754325259514,0.5227655986509275,0.4874960430515986,100.0,100.0,86.98,53.15,84.09,0.36652983699102426,84.84400000000001
동작구,0.04,0.16666666666666666,0.31141868512110726,0.4759696458684654,0.4175371953149731,100.0,100.0,52.22,59.79,80.06,0.2823184385942425,78.414
마포구,0.16,0.3333333333333333,0.5553633217993079,0.636593591905565,0.5384615384615384,100.0,75.0,85.67,48.34,80.36,0.44475035709994887,77.874
서대문구,0.08,0.25,0.2370242214532872,0.43296795952782463,0.3510604621715733,100.0,100.0,87.59,54.72,81.79,0.270210528630537,84.82000000000002
서초구,0.2,0.75,0.5397923875432526,0.6336424957841484,0.5783475783475783,100.0,100.0,73.08,45.97,82.43,0.5403564923349958,80.29599999999999
성동구,0.16,0.25,0.1903114186851211,0.3815345699831366,0.3450459006014562,25.0,100.0,74.55,54.92,84.95,0.2653783778539428,67.884
성북구,0.08,0.3333333333333333,0.2041522491349481,0.37731871838111297,0.4406457739791073,100.0,75.0,74.58,52.96,87.64,0.28709001496570036,78.03599999999999
송파구,0.28,0.25,0.4273356401384083,0.8532883642495784,0.7701804368471035,85.71,100.0,87.45,49.16,84.09,0.516160888247018,81.282
양천구,0.12,0.08333333333333333,0.20069204152249134,0.5687183811129848,0.48939537828426716,100.0,100.0,79.31,51.89,83.38,0.29242782685061536,82.916
영등포구,0.44,0.6666666666666666,0.4826989619377163,0.7217537942664418,0.6866096866096866,100.0,100.0,70.25,48.54,79.81,0.5995458218961023,79.72
용산구,0.04,0.25,0.24394463667820068,0.39839797639123103,0.4086736308958531,100.0,66.67,73.05,51.22,82.8,0.26820324879305696,74.74800000000002
은평구,0.12,0.3333333333333333,0.28719723183391005,0.6003372681281619,0.5213675213675214,100.0,100.0,80.12,57.94,88.46,0.37244707093258533,85.304
종로구,0.16,0.5,0.2698961937716263,0.4548903878583474,0.46438746438746437,100.0,50.0,65.38,46.71,80.98,0.36983480920348766,68.614
중구,0.24,0.5,0.27854671280276816,0.5392074198988196,0.4460272238050016,100.0,100.0,60.25,57.78,86.87,0.40075627130131786,80.97999999999999
중랑구,0.24,0.3333333333333333,0.24394463667820068,0.5897976391231029,0.5254827477049699,100.0,100.0,82.98,59.69,86.87,0.38651167136792136,85.908
