매장명,주소,구
강남YMCA점,서울 강남구 논현동,강남구
강남구청역아이티웨딩점,"서울 강남구 학동로 338 (논현동, 강남파라곤)",강남구
강남논현학동점,서울 강남구 논현로131길 28 (논현동),강남구
강남대치점,"서울 강남구 역삼로 415 (대치동, 성진빌딩)",강남구
강남도산점,서울 강남구 도산대로37길 20 (신사동),강남구
강남율현점,"서울 강남구 밤고개로21길 8 (율현동, 세곡프라자)",강남구
개포동역점,"서울 강남구 개포로82길 11 (개포동, 삼우빌딩)",강남구
건설회관점,서울 강남구 언주로 711 (논현동),강남구
대청역점,"서울 강남구 개포로109길 34 (개포동, 대청프라자)",강남구
대치역점,"서울 강남구 남부순환로 2937 (대치동, 까치빌딩)",강남구
도곡2동점,"서울 강남구 논현로 142 (도곡동, 동현빌딩)",강남구
도산사거리점,서울 강남구 논현동,강남구
삼성대치점,"서울 강남구 삼성로64길 32 (대치동, 주성빌딩)",강남구
삼성동점,서울 강남구 테헤란로88길 10 (대치동),강남구
삼성중앙역점,"서울 강남구 삼성로 608 (삼성동, 우창빌딩)",강남구
삼성한전점,서울 강남구 테헤란로107길 11 (삼성동),강남구
선릉역점,"서울 강남구 테헤란로 332 (역삼동, HJ타워)",강남구
선릉점,"서울 강남구 선릉로86길 15 (대치동, 현대선릉 GOLD TOWER)",강남구
신사역점,서울 강남구 압구정로2길 62 (신사동),강남구
압구정현대점,"서울 강남구 압구정로 214 (신사동, 현대종합상가빌딩)",강남구
역삼역점,서울 강남구 테헤란로25길 17 (역삼동),강남구
역삼월드점,"서울 강남구 역삼로52길 14 (역삼동, 도곡프라자)",강남구
역삼점,서울 강남구 논현로72길 13 (역삼동),강남구
역삼중앙점,서울 강남구 언주로81길 8 (역삼동),강남구
역삼초교점,서울 강남구 강남대로 314 (역삼동),강남구
역삼충현점,서울 강남구 논현로98길 7 (역삼동),강남구
역삼플래티넘점,"서울 강남구 테헤란로4길 46 (역삼동, 쌍용플래티넘밸류)",강남구
을지병원사거리점,서울 강남구 도산대로30길 7 (논현동),강남구
이디야커피랩,"서울 강남구 논현로 636 (논현동, 이디야빌딩)",강남구
일원동점,서울 강남구 양재대로27길 20 (일원동),강남구
청담사거리점,서울 강남구 도산대로 521 (청담동),강남구
청담역점,"서울 강남구 삼성로 721 (청담동, 룩희 819)",강남구
포이사거리점,서울 강남구 개포로 218 (개포동),강남구
학동역점,"서울 강남구 학동로 219 (논현동, 국제빌딩)",강남구
학동제마점,서울 강남구 학동로34길 22 (논현동),강남구
한티역점,서울 강남구 도곡로69길 8 (대치동),강남구
4.19사거리점,서울 강북구 삼양로 501 (수유동),강북구
가오리역점,서울 강북구 삼각산로 108 (수유동),강북구
미아꿈의숲해링턴점,"서울 강북구 오현로 45 (미아동, 꿈의숲 해링턴 플레이스)",강북구
미아역점,서울 강북구 도봉로 207 -3(미아동),강북구
미아중앙점,서울 강북구 도봉로 128 (미아동),강북구
번동점,"서울 강북구 오현로 194 (번동, 덕수빌딩)",강북구
북한산점,서울 강북구 4.19로 85 (수유동),강북구
수유사거리점,"서울 강북구 덕릉로 82 (수유동, 제네스타워)",강북구
수유역점,서울 강북구 도봉로 355 (수유동),강북구
우이역도선사점,서울 강북구 삼양로173길 21 (우이동),강북구
한신대점,서울 강북구 덕릉로 31 (수유동),강북구
가양역점,서울 강서구 양천로 500 (등촌동),강서구
강서nc점,서울 강서구 강서로54길 11 (등촌동),강서구
강서교차로점,"서울 강서구 공항대로 437 (등촌동, 주신기업(주))",강서구
강서구청점,"서울 강서구 화곡로 292 (화곡동, 서광프리메라)",강서구
강서한강자이점,서울 강서구 양천로 401 (가양동),강서구
개화산역점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",강서구
개화산점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",강서구
공항시장역점,"서울 강서구 방화동로 37 (방화동, 메디스타워)",강서구
까치산로점,서울 강서구 까치산로 182 (화곡동),강서구
