,index,player_id,current_club_id,first_name,last_name,name,position,sub_position,age,market_value_in_eur,current_club_name,competition_name
0,231860,342229,583,Kylian,Mbappé,Kylian Mbappé,Attack,Centre-Forward,24,180000000,Paris Saint-Germain,ligue-1
1,328613,418560,281,Erling,Haaland,Erling Haaland,Attack,Centre-Forward,22,170000000,Manchester City,premier-league
2,307151,406635,281,Phil,Foden,Phil Foden,Attack,Left Winger,22,110000000,Manchester City,premier-league
3,192236,433177,11,Bukayo,Saka,Bukayo Saka,Attack,Right Winger,21,100000000,Arsenal FC,premier-league
4,85650,132098,148,Harry,Kane,Harry Kane,Attack,Centre-Forward,29,90000000,Tottenham Hotspur,premier-league
5,114666,357164,5,Rafael,Leão,Rafael Leão,Attack,Left Winger,23,85000000,AC Milan,serie-a
6,114462,344381,23826,Christopher,Nkunku,Christopher Nkunku,Attack,Second Striker,25,80000000,RB Leipzig,bundesliga
7,281798,357498,506,Dusan,Vlahovic,Dusan Vlahovic,Attack,Centre-Forward,22,80000000,Juventus FC,serie-a
8,184756,406625,46,Lautaro,Martínez,Lautaro Martínez,Attack,Centre-Forward,25,75000000,Inter Milan,serie-a
9,248410,480692,31,Luis,Díaz,Luis Díaz,Attack,Left Winger,25,75000000,Liverpool FC,premier-league
10,343889,134425,631,Raheem,Sterling,Raheem Sterling,Attack,Left Winger,28,70000000,Chelsea FC,premier-league
11,246762,91845,148,Heung-min,Son,Heung-min Son,Attack,Left Winger,30,70000000,Tottenham Hotspur,premier-league
12,374550,309400,631,Kai,Havertz,Kai Havertz,Attack,Centre-Forward,23,70000000,Chelsea FC,premier-league
13,252452,192565,27,Leroy,Sané,Leroy Sané,Attack,Right Winger,26,70000000,Bayern Munich,bundesliga
14,61220,203460,281,Jack,Grealish,Jack Grealish,Attack,Left Winger,27,70000000,Manchester City,premier-league
15,28009,546543,31,Darwin,Núñez,Darwin Núñez,Attack,Centre-Forward,23,70000000,Liverpool FC,premier-league
16,113040,401923,6195,Victor,Osimhen,Victor Osimhen,Attack,Centre-Forward,24,70000000,SSC Napoli,serie-a
17,246428,159471,27,Serge,Gnabry,Serge Gnabry,Attack,Right Winger,27,65000000,Bayern Munich,bundesliga
18,229051,243714,27,Kingsley,Coman,Kingsley Coman,Attack,Left Winger,26,60000000,Bayern Munich,bundesliga
19,303158,434675,31,Cody,Gakpo,Cody Gakpo,Attack,Left Winger,23,60000000,Liverpool FC,premier-league
20,233163,401173,985,Jadon,Sancho,Jadon Sancho,Attack,Left Winger,22,60000000,Manchester United,premier-league
21,349741,288230,131,Ousmane,Dembélé,Ousmane Dembélé,Attack,Right Winger,25,60000000,FC Barcelona,laliga
22,165058,655488,11,Gabriel,Martinelli,Gabriel Martinelli,Attack,Left Winger,21,60000000,Arsenal FC,premier-league
23,29501,502670,6195,Khvicha,Kvaratskhelia,Khvicha Kvaratskhelia,Attack,Left Winger,21,60000000,SSC Napoli,serie-a
24,154735,200512,27,Sadio,Mané,Sadio Mané,Attack,Left Winger,30,60000000,Bayern Munich,bundesliga
25,158873,351478,681,Mikel,Oyarzabal,Mikel Oyarzabal,Attack,Left Winger,25,60000000,Real Sociedad,laliga
26,134977,341092,506,Federico,Chiesa,Federico Chiesa,Attack,Left Winger,25,60000000,Juventus FC,serie-a
27,325272,258923,985,Marcus,Rashford,Marcus Rashford,Attack,Left Winger,25,55000000,Manchester United,premier-league
28,126685,96341,46,Romelu,Lukaku,Romelu Lukaku,Attack,Centre-Forward,29,55000000,Inter Milan,serie-a
29,115291,395516,15,Moussa,Diaby,Moussa Diaby,Attack,Right Winger,23,50000000,Bayer 04 Leverkusen,bundesliga
30,335686,28003,583,Lionel,Messi,Lionel Messi,Attack,Right Winger,35,50000000,Paris Saint-Germain,ligue-1
31,356977,349066,762,Alexander,Isak,Alexander Isak,Attack,Centre-Forward,23,50000000,Newcastle United,premier-league
32,308651,576024,281,Julián,Álvarez,Julián Álvarez,Attack,Centre-Forward,22,50000000,Manchester City,premier-league
